Container No,UN No,Class,PG,Position,Description
WHLU1001001,1203,3,II,030282,GASOLINE
WHLU1001002,1017,2.3,N/A,030284,CHLORINE
WHLU1001003,1789,8,II,050186,HYDROCHLORIC ACID
WHLU1001004,3480,9,N/A,070088,LITHIUM ION BATTERIES
WHLU1001005,1072,2.2,N/A,090290,OXYGEN COMPRESSED
WHLU1001006,1993,3,I,110292,FLAMMABLE LIQUID N.O.S.
WHLU1001007,2035,2.1,N/A,130294,REFRIGERANT GAS R143a
WHLU1001008,1133,3,I,150296,ADHESIVES CONTAINING FLAMMABLE LIQUID
WHLU1001009,1263,3,I,170298,PAINT
WHLU1001010,1266,3,II,190300,PERFUMERY PRODUCTS
